country,latitude,longitude,name,room_types,booked,rating,nights,review,traveler_type,reviewed,review_title
 United Kingdom,55.3781,-3.436,Daisy,Junior Suite with King Bed ,2023-04,9.0,5,"staff were wonderful, couldn’t do enough for you. food was delicious, we ate only local food which was perfect. lovely swimming pool area, room was huge and clean and lovely powerful shower. The owner/managers would come round and talk to you every morning, we even had a cake left for us in our fridge.",Couple,2023-04-16,perfect stay
 Denmark,56.2639,9.5018,Rasmus,Junior Suite with King Bed ,2023-04,10.0,13,"Thanks for a wonderful stay! We really can't complain about anything. The staff all over were very kind and had a high level of service. We had breakfast every morning and despite it wasn't the biggest buffet seen, it was comprehensive and always varied with fresh ingredients. Further had we a great waiter every day in Sandesh. I will also mention the friendly staff in the reception Feon, Rita, Jaya and Anjana who made our holiday unforgettable and made our daughter have her best vacation ever. They were really kind to her. Something we really appreciated. We had a suit and it was very big and had room for our 4 year old daughter who slept comfortably on the two sofas (moved together). The cleaning by Avdhut Patki and his boys Prashit and Rajan Kumar was indeed great. We would like to return for sure one day and can recommend it to everyone.",Family,2023-04-16,"Great stay, great staff!"
 United Kingdom,55.3781,-3.436,Karen,Junior Suite with King Bed ,2023-04,10.0,8,"very clean 
wonderful staff 
exceptional hotel in candelim",Couple,2023-04-14,exceptional hotel
 Ireland,53.1424,-7.6921,Joan,Two-Bedroom Villa with Garden View ,2023-04,10.0,3,"The hotel is gorgeous, we had a 3 bedroomed villa. So spacious and comfortable. 3 beautiful pools close to the villa. The food at the pool bar is lovely and good value. The breakfast is fab. Most of all, the staff are amazing. So welcoming and helpful. Very impressed with the hotel.",Group,2023-04-13,Amazing
 United Kingdom,55.3781,-3.436,Susan,Junior Suite with King Bed ,2023-04,10.0,14,"beautiful grounds, reception area was impressive. beautiful swimming pools property well maintained.",Couple,2023-04-10,first time back in Candolim since lock down was previously due to stay here. first class property and staff who couldn’t
 India,20.5937,78.9629,Nipun,Junior Suite with King Bed ,2023-04,10.0,5,"Just superb !!! Can't express there hospitality in words really out of this world . Owners themselves greet guests at breakfast table personally on daily basis . We stayed there for 5night 6days but still feel for more just  Incredible . Everything was spot on 
STAFF was humble and always smiling . I would really thanks seashell suites and villas team for hosting us and making my trip wonderful. Lastly 
Woild like to thank SANJAY JI ( owner ) for celebrating my 7 yr old son ❤️  birthday on 9th april with there team . Thanx guys you really won my family heart ❤️ 
Nipun kansal 
Delhi",Family,2023-04-10,Exceptional
 United Kingdom,55.3781,-3.436,Steven,Junior Suite with Twin Bed ,2023-04,9.0,11,Breakfast was very good indeed. Staff attentive and helpful. An enjoyable experience.,Group,2023-04-09,Enjoyable stay. Perfectly happy with facilities and location.
 United Arab Emirates,23.4241,53.8478,Sharon,Three-Bedroom Villa ,2023-04,10.0,5,"Fabulous location, very attentive staff, exceptional food, and a really comfy bed!",Family,2023-04-08,"Fabulous stay, value for money"
 Isle of Man,54.2361,-4.5481,Alexandra,Junior Suite with King Bed ,2023-04,10.0,14,"Fantastic location, brilliant staff. An extremely personal service. Food is great and the rooms are very modern and spacious.",Couple,2023-04-06,Loved every minute
 United Kingdom,55.3781,-3.436,Caroline,Junior Suite with Twin Bed ,2023-03,10.0,14,"Breakfast, plenty of choice the staff are very helpful  If they feel your not eating they will make suggestions of food you can order cook fresh.",Group,2023-04-04,Nice hotel lovely staff.
 Brazil,-14.235,-51.9253,Vinicius,Junior Suite with King Bed ,2023-03,10.0,6,everything here is great and comfortable! you can choose it with 100% chance of taking the right decision! best place in Goa,Solo traveller,2023-03-31,best place in Goa
 India,20.5937,78.9629,Nagapati,Junior Suite with Twin Bed ,2023-03,10.0,3,"Excellent breakfast, big room",Family,2023-03-28,Exceptional
 Australia,-25.2744,133.7751,Donna,Junior Suite with Twin Bed ,2023-03,10.0,4,"Everything!!! From the moment you step into the reception the staff are amazing (Mantu’s smile and friendliness each morning was a lovely start to the day). The cleanliness was obvious and the facilities, Suites, Breakfast and location were all exceptional. One of the best places I have stayed. I definitely plan to come back 😊",Family,2023-03-28,Exceptional- look no further!
 Switzerland,46.8182,8.2275,Vinod,Three-Bedroom Villa ,2023-03,10.0,4,"Everything was just perfect with the place.
Wonderful people running the place and full of positivity and smiles",Family,2023-03-28,Exceptional
 Germany,51.1657,10.4515,Bernd,Junior Suite with Twin Bed ,2023-03,10.0,15,Alles das beste Hotel in Candolim,Couple,2023-03-27,The bestHotel ever
 Egypt,26.8206,30.8025,Elkhouly,Junior Suite with King Bed ,2023-03,10.0,7,"Good location, friendly stuff, clean hotel, we really enjoyed our staying there",Couple,2023-03-26,Good vacation
 India,20.5937,78.9629,Subham,Junior Suite with King Bed ,2023-03,10.0,4,"I have stayed in many hotels in Goa but all had one or more items that did not meet my expectations. But I can say that Sea Shell Suites sometimes met all my expectations and exceeded expectations.
The staffs are very courteous and always ready to help, kudos to the team. 
The food is extraordinary, I have tried many items in their restaurant and all of them were really delicious and tasty.
I will definitely book this hotel for my next visit.",Family,2023-03-24,"Great food, awesome staff and really very good for money."
 India,20.5937,78.9629,Gautham,Junior Suite with King Bed ,2023-02,10.0,2,"breakfast was excellent, room was big enough for 3 and pool was clean and well maintained.",Group,2023-03-24,Exceptional
 United States,37.0902,-95.7129,Garvin,Junior Suite with King Bed ,2023-03,10.0,7,"A fine and well run hotel with a really excellent staff. Clean, fresh, spacious. Really recommended.",Couple,2023-03-23,Exceptional
 Netherlands,52.1326,5.2913,Patricia,Junior Suite with Twin Bed ,2023-03,9.0,6,everybody was very friendly and the hole hotel was very clean,Family,2023-03-22,the people that clean our room do a great job. gangadhar and the other guy really clean top
 United Kingdom,55.3781,-3.436,Vishal,Junior Suite with King Bed ,2023-03,10.0,4,"Staff were extremely friendly, we were upgraded to a villa which was spectacular. What a pleasant experience and it will surely be our Go To accommodation whenever going to Goa.",Family,2023-03-21,"Exceptional, loved our accommodation!"
 India,20.5937,78.9629,Mayank,Junior Suite with King Bed ,2023-02,10.0,3,Hotel was clean and well maintained. Staff was good and helpful. Location was good. Food quality was excellent.,Family,2023-03-20,Exceptional
 United Kingdom,55.3781,-3.436,Elizabeth,Junior Suite with King Bed ,2023-03,10.0,4,"The staff were incredibly attentive, amenable friendly, kind and helpful. The hotel room was very clean and spacious. The pool areas were great and the grounds were well-designed and maintained. The breakfast, lunch and dinner menus were varied and everything I ordered was delicious. The beach, restaurants and shops were a short walk away but the hotel was such a quiet oasis that there would be no need to leave if you wanted to relax at the hotel. Highly recommended.",Group,2023-03-19,Highly recommended
 United Kingdom,55.3781,-3.436,Helen,Junior Suite with King Bed ,2023-03,9.0,4,"Seashell is a beautiful resort with very helpful and attentive staff. the food is delicious and the rooms and lovely, clean, and spacious.",Group,2023-03-17,I had a wonderful stay and would highly recommend staying here.
 United Kingdom,55.3781,-3.436,Dij88,Junior Suite with King Bed ,2023-03,10.0,6,"A high-end, modern hotel with a warm, welcoming, family feel. 
Our room was enormous, clean and comfortable but best of all was the bathroom because of the fabulous power shower. 
We really appreciated the way the busy housekeeping lads found time to greet us every morning as we passed by. The breakfast was outstanding for both quality and choice and our regular waiter, Sandesh, was an absolute delight, always smiling and so helpful. Basically, every member of staff impressed us and we would definitely stay again.",Couple,2023-03-12,The Jewel of Candolim
 United Kingdom,55.3781,-3.436,Alan,Junior Suite with King Bed ,2023-03,10.0,4,We visited the restaurant once for an evening meal & were a bit disappointed.,Couple,2023-03-12,The staff go an extra distance to be extremely friendly & helpful.
 United Kingdom,55.3781,-3.436,Janet54,Junior Suite with King Bed ,2023-03,10.0,6,"Everything! The location is excellent, right in the centre of Candolim but set back so you don’t get the noise if the traffic or the bars. The rooms are huge, with fabulous comfy beds, a fridge,safe, plenty of wardrobe space and a more than adequate bathroom. There’s also a seating area, tv across from the bed and in the living space, tea/coffee making facilities and a balcony. The rooms are cleaned to an exceptionally high standard. Staff here are outstanding, they are warm and friendly and nothing is too much trouble. Breakfast has a varied selection of good, with requests for eggs, bacon and other items made on entry and freshly cooked. We also enjoyed an evening meal here that was also exceptional. The chef comes round to speak to you and takes onboard any feedback. There are 3 pools with sun beds and towels and a pool bar. We have visited Goa ten times in the past 9 years, and this is the best hotel we have ever stayed in. We will return.",Couple,2023-03-11,Outstanding hotel
 United Kingdom,55.3781,-3.436,Terry,Junior Suite with King Bed ,2023-02,9.0,21,"Breakfast was fantastic,
Location is perfect",Couple,2023-03-09,Excellent
 India,20.5937,78.9629,Akhilesh,Junior Suite with King Bed ,2023-03,10.0,3,"Breakfast, room size, courteous staff, location, room cleanliness etc",Family,2023-03-07,Exceptional
 United Kingdom,55.3781,-3.436,Dawn,Junior Suite with King Bed ,2023-03,10.0,8,"perfect location for the beach and nightlife, and yet was so quiet and peaceful",Couple,2023-03-05,"felt very valued and looked after from arrival to departure, every single member of staff was so welcoming and friendly"
 United Kingdom,55.3781,-3.436,Vinicius,Junior Suite with Twin Bed ,2023-03,10.0,5,everything was very nice! friendly helpful staff!,Group,2023-03-03,Exceptional
 United Kingdom,55.3781,-3.436,Joseph,Junior Suite with King Bed ,2023-02,10.0,21,Everything went well with our stay it was amazing,Couple,2023-03-03,excellent stay
 India,20.5937,78.9629,Aswath,Junior Suite with King Bed ,2023-03,10.0,4,"Amazing experience!!! There was nothing ""Junior"" about the Junior Suite with King Bed that we booked - the room was huge with a king size bed + 2 side tables, 2 sofas, 1 coffee table, a garden-facing balcony (with 2 patio chairs and a coffee table) and 2 TVs (on consoles), a refrigerator, a clothes cabinet and a pretty big bathroom. With all that, there was plenty of floor space available to walk about. The stay was uber-comfortable. The service staff were AMAZING! EVERY SINGLE PERSON served with a smile on their face and were very courteous - special call out to the staff in the reception area, restaurant and in-room dining staff and housekeeping staff. The breakfast buffet had a good spread of vegetarian dishes which were delicious. The owner made visits during the breakfast time and interacted with the guests and assured them of a comfortable stay - this personal touch was much appreciated. We were there for our honeymoon and they were gracious enough to send over a cake for us. The Lunch and Dinner menus were also very good. All of the items we ordered (tandoori rotis, panneer dishes, fried rice, noodles, fries, ginger tea, dal khichadi etc) over the span of 3-4 days were really good. The in-room dining experience was great - they got all orders right and the food came promptly. The in-house restaurant was also a good spot to unwind and have a peaceful meal during lunch and dinner times. The whole facility was spotlessly clean. The reception area with its high glass windows/doors is a sight to see during the daytime. The hotel itself is 5 minutes away from Candolim beach and so easy to get to for sunrise and sunset. There are shops and restaurants on the same road which gives us tourists plenty of choices. The hotel staff also help arrange cab services and provide recommendations for places to visit. The only area we did not get to use was the pool area, but other tourists seemed to have had a good time. Overall, a great experience.",Couple,2023-03-02,"Amazing, Relaxing, Safe, Satisfying!"
 United States,37.0902,-95.7129,Myron,Junior Suite with King Bed ,2023-02,9.0,5,excellent hotel in three heart of Candolim.  very friendly owner and staff. top notch room and cleanliness.  super modem bathroom with great water pressure. extremely comfortable bed with cool AC (keep the room at 19 degrees) .  breakfast also very good (Indian add continental),Solo traveller,2023-02-27,great value 4 star hotel with exceptional staff
 India,20.5937,78.9629,Gagan,Junior Suite with Twin Bed ,2023-01,9.0,3,Comfortable spacious rooms. Three swimming pools. Good Landscaping,Family,2023-02-25,Superb
 Sweden,60.1282,18.6435,Carl,Junior Suite with King Bed ,2023-02,10.0,2,EVERYTHING,Solo traveller,2023-02-23,PERFECT
 Australia,-25.2744,133.7751,Frank,Junior Suite with King Bed ,2023-02,10.0,5,"EVERYTHING ABOUT SEASHELL WAS OUTSTANDING. FROM STAFF AT RECEPTION TO CLEANLINESS, RESTAURANT STAFF AND MEAL QUALITY. EVERYTHING WAS PERFECT. I WOULD  NOT STAY ANYWHERE ELSE WHEN IN CANDOLIM AND GOA.",Family,2023-02-22,Best hotel in GoA by far
 India,20.5937,78.9629,Dr,Junior Suite with King Bed ,2023-02,10.0,2,Hoapitality,Family,2023-02-21,Exceptional
 Ireland,53.1424,-7.6921,Bearpark,Junior Suite with King Bed ,2023-02,10.0,18,it combined a nice room with comfortable surroundings and excellent staff,Solo traveller,2023-02-21,a thoroughly enjoyable stay enhanced by an excellent staff
 United Kingdom,55.3781,-3.436,James,Junior Suite with King Bed ,2023-02,10.0,6,"Amazing stay, kindest and most attentive staff, facilities are amazing and very clean. Will definitely stay here again and recommend to anyone visiting Candolim, Goa",Couple,2023-02-20,Exceptional
 Australia,-25.2744,133.7751,Sofie,Junior Suite with King Bed ,2023-02,10.0,2,"Very happy with our stay here, the staff went above and beyond to provide excellent service. Room was spacious, comfy beds and Netflix on TV was a nice bonus. Hotel is located a 5 minute walk to the beach. Breakfast was great, continental breakfast and Indian.",Couple,2023-02-16,Exceptional
 Germany,51.1657,10.4515,Felix,Two-Bedroom Villa with Garden View ,2023-02,10.0,4,just great,Group,2023-02-15,Exceptional
 Malta,35.9375,14.3754,Charmaine,Three-Bedroom Villa ,2023-02,10.0,3,grounds and service,Group,2023-02-15,lovely stay in villa with 3 bedrooms. spacious clean and very nice staff.
 United Kingdom,55.3781,-3.436,Rainu,Junior Suite with Twin Bed ,2023-01,10.0,14,Amazing staff very helpful. Always a smile on their faces making feel so welcome. Especial thank you to Gotham and team at reception for being so helpful and amazing. Beautiful place for relaxation,Solo traveller,2023-02-14,Amazing great hotel and next to the beach
 India,20.5937,78.9629,Nivedita,Three-Bedroom Villa ,2023-02,10.0,3,Breakfast was excellent. The spread was great. Some of the baked items were a little hard,Group,2023-02-14,Exceptional
 United Kingdom,55.3781,-3.436,Shomit,Junior Suite with King Bed ,2023-02,8.0,3,it’s comfortable good location and clean the staff are so friendly and helpful. the king suite is huge!,Couple,2023-02-09,great value for money
 Australia,-25.2744,133.7751,Amith,Three-Bedroom Villa ,2023-01,10.0,3,Everything!,Family,2023-02-08,Exceptional
 India,20.5937,78.9629,Manish,Junior Suite with King Bed ,2023-02,9.0,3,Owners meet all guests at breakfast table,Group,2023-02-05,very comfortable .. 4th visit to this hotel . Will come back again
 India,20.5937,78.9629,Ranjit,Junior Suite with King Bed ,2023-01,10.0,1,"Cleanliness, very concerned & genuinely caring staff , perfect centrally located hotel ...",Family,2023-02-04,Exceptional
 United Kingdom,55.3781,-3.436,Mark,Junior Suite with King Bed ,2023-01,10.0,7,so clean great service,Couple,2023-02-01,great stay
 United Kingdom,55.3781,-3.436,Steve,Junior Suite with King Bed ,2023-01,10.0,5,"clean, modern and well staffed",Couple,2023-01-29,"at the risk of sounding cliche, it is simply the best. lacks nothing, immaculate, staff very accommodating…….just perfec"
 Croatia,45.1,15.2,Sanja,Junior Suite with King Bed ,2023-01,10.0,3,"This is the most amazing hotel. Impeccably clean, incredible hospitality, this was by far the best hotel we had in India. So many personal touches make you feel very well taken care off. The chef arranged a seafood dinner for us wich we enjoyed so much.  From the owner, chef, waiter, receptionists to the housekeeping staff everybody on the highest level of hospitality. Absolutely recommended!",Group,2023-01-28,Exceptional
 Australia,-25.2744,133.7751,Amity,Junior Suite with Twin Bed ,2023-01,10.0,7,"Large pool, excellent food",Family,2023-01-27,Excellent stay
 India,20.5937,78.9629,Dinesh,Junior Suite with King Bed ,2023-01,10.0,3,"I have seen very few mid-budget hotels with such persistent high rating. And when I booked this hotel, i was always doubtful how will it turn out. But, this wonderful thoughfully designed property beat all our doubts and made it our favourite hotel in Goa. This was my 3rd visit to Goa in last 6 years and I have stayed in several good hotels in Varca, panjim, baga before. But candolim totally surprised us and seashells was cherry on the top. They have magnificent staff. Naming a few will not do justice to all those who couldn't introduce themselves but always greeted us with a smile and greeting. Since, this was my first visit to far away place with my 1.5 yr old daughter, i never felt out of home. The staff were extremely friendly and caring and offered help out of way. We stayed for 2 days in junior suite which was road facing. The suites are approximately double the size of rooms one usually gets in hotels. And there is ample amount of space for a kid to play around. They have 24 hr dining service and they prepared meals on special request even if it was not on their menu. The exterior of the hotel is big and surrounded by big trees around. So one can even lie around pools without worrying about sun. They have 3 big pools,nice walk away and serene environment. They greeted my daughter everytime with chocolates and baked a super yum chocolate cake. Breakfast had many varieties. Whole of the hotel was spotless clean. Room had access to instant hot water 24 hours a day. Wifi was great. Overall we enjoyed a lot and more importantly my daughter just loved the placed and felt extremely comfortable. Would love to visit this place and recommend to everyone looking for a peaceful and enriching experience.",Family,2023-01-27,Close your eyes and book it
 Ireland,53.1424,-7.6921,Richard,Junior Suite with King Bed ,2023-01,10.0,6,"location was amazing, so clean and comfortable. excellence beds!",Couple,2023-01-25,"amazing staff, fantastic locatikn close to the beach, perfectly clean quiet and comfortable"
 India,20.5937,78.9629,Manisha,Junior Suite with Twin Bed ,2023-01,9.0,3,"The owners, the staff, the place, the food everything was great..",Group,2023-01-22,Awesome
 United Arab Emirates,23.4241,53.8478,Rahul,Junior Suite with King Bed ,2022-12,10.0,4,The service was impeccable; clean property.,Solo traveller,2023-01-22,Justifies the price and rating.
 New Zealand,-40.9006,174.886,Nicki,Junior Suite with King Bed ,2023-01,10.0,8,Everything - perfect sanctuary from the hustle and bustle,Couple,2023-01-20,Amazing accommodation
 India,20.5937,78.9629,Rajesh,Junior Suite with King Bed ,2022-12,10.0,5,"Excellent and welcoming staff.
Warm welcome and personal attention from Mr.Gonsalvez and  Mr.Sanjay.
The breakfast spread is awesome.
Location is just right.",Family,2023-01-17,Candolim Stay
 India,20.5937,78.9629,Jagnesh,Junior Suite with King Bed ,2023-01,10.0,3,Location and hospitality,Couple,2023-01-17,Exceptional
 United Kingdom,55.3781,-3.436,Tina,Junior Suite with King Bed ,2023-01,10.0,3,"Excellent location, friendly staff",Couple,2023-01-12,If it wasn't for the hassle about payment would have been excellent
 India,20.5937,78.9629,Prasad,Junior Suite with King Bed ,2022-12,10.0,4,"spacious rooms, good food and nice staff",Family,2023-01-08,pleasant stay and worth visiting again
 South Africa,-30.5595,22.9375,M65slippens,Junior Suite with King Bed ,2023-01,10.0,5,"I only have praise. There was nothing absolutely nothing that anyone could find wrong or out of place during our 5 day stay. Probably my best experience in service, attention to detail, and consistent friendliness.

The staff, hands-on management, food, room, quick room service, superb cleanliness, housekeeping, everyone was offering their best 24/7 consistently for 5 days.

The location is perfect, the moment you step into the hotel entrance the hustle and bustle that is Goa fades and you are transported into the tranquil surrounds of the hotel grounds with immaculate gardens with palms trees, birdsong and calm.",Family,2023-01-08,Candolim Goa 5* Stay
 India,20.5937,78.9629,Kumar,Three-Bedroom Villa ,2023-01,10.0,3,Excellent property! And excellent location. Very courteous hospitality. Highly recommended.,Family,2023-01-02,Exceptional
 India,20.5937,78.9629,Swamita,Junior Suite with King Bed ,2022-12,10.0,2,"large rooms, clean, courteous staff, location",Family,2023-01-01,excellent
 Spain,40.4637,-3.7492,Piedade,Junior Suite with King Bed ,2022-12,10.0,5,"Everything is great, big and spacious rooms, very short walk to the beach, great breakfast and above all incredible customer service. I’d definitely recommend this place",Solo traveller,2022-12-29,Amazing customer service
 India,20.5937,78.9629,Manan,Junior Suite with King Bed ,2022-12,10.0,3,best property for luxury living,Family,2022-12-27,stay luxury stat with protective feel
 Canada,56.1304,-106.3468,Aniket,Junior Suite with King Bed ,2022-12,10.0,2,"Stayed at the hotel over the weekend during my trip to Goa with my wife. We both loved our stay and couldn't be happier with the hospitality offered. We were welcomed with a complimentary cake when the staff learned about our recent wedding. The hotel's breakfast buffet had tons of options to choose from, and we loved the overall ambience and generosity. We highly recommend this hotel!",Couple,2022-12-23,Exceptional
 Australia,-25.2744,133.7751,Akshaya,Three-Bedroom Villa ,2022-12,10.0,4,"Fantastic experience and hospitality from everyone at the property. Sandesh @ the restaurant, operations mgr Sanjay, Chef Nitin and owner Shelly were such a pleasure to talk to. Would highly recommend to everyone.",Family,2022-12-23,Exceptional
 India,20.5937,78.9629,Rony,Junior Suite with King Bed ,2022-12,9.0,2,"The room was big , clean and very comfortable. The staff were helpful and  friendly and made our stay enjoyable. The location is very close to the beach and restaurants.",Family,2022-12-23,Superb
 Ireland,53.1424,-7.6921,Rakshith,Junior Suite with King Bed ,2022-12,10.0,3,The villa was amazing along with the pool.,Couple,2022-12-22,Our Goa trip started off with a bang when we were upgraded to a villa. The staff were really friendly and we were treate
 Portugal,39.3999,-8.2245,Ana,Junior Suite with King Bed ,2022-12,10.0,3,"Great location, spacious rooms, very amicable staff, specially Leona who helped us a lot.",Group,2022-12-22,Exceptional
 India,20.5937,78.9629,Karthikarun,Junior Suite with King Bed ,2022-12,10.0,5,"The Staff. This is the property's best asset. Everyone from the parking security to the management team are courteous, involved and very welcoming. The location too is a big advantage being walking distance from Candolim beach and shops and restaurants all around. The breakfast was good and you can ask for some meats if you prefer them that are off menu too. Also, Mr. Shelly Gonsalves, his son and Mr Sanjay Candolkar who own and manage the property personally meet all guests at breakfast and ensure you are comfortable. I'd like to make a special mention about Anjana at the front desk and the service staff at breakfast for their special attention to the fussy needs of our son!",Family,2022-12-22,A Hidden Gem in Goa
 United Kingdom,55.3781,-3.436,Laura,Junior Suite with Twin Bed ,2022-12,10.0,9,The room was modern and clean. The hotel grounds were lovely and the staff were extremely friendly.,Group,2022-12-18,Relaxing and comfortable
 India,20.5937,78.9629,Dwivedi,Junior Suite with King Bed ,2022-12,9.0,5,location . staff . cleanliness . room size . food,Couple,2022-12-16,it’s iw a great place to say and we enjoyed it .
 Finland,61.9241,25.7482,Hannele,Junior Suite with Twin Bed ,2022-12,10.0,5,"The friendly and professional staff at the wonderful hotel made our stay exceptional! They went above and beyond to meet our wishes. Gautam, Feona, Anjana and Teresa at the reception made us feel welcome from the minute that we stepped into the hotel. They were professional and knowledgeable and gave us great tips for Candolim and Panaji, among others. Gangadhar ensured that our room was pristine throughout our 5-night stay and was so helpful and quickly attended to any requests that we had. Chef Nitin personally introduced all the delicious Indian dishes at breakfast and even tailored a dinner menu to our taste. The restaurant staff (Deshmai, Anand, Roseline, Veronica, Sandesh, Magdalene, Omkar and Okanao) were extremely professional, service-minded and always greeted us with a big smile. They made our breakfast and dinner experiences the highlights of our day! Abdelsheikh was equally friendly and helpful when we wanted to grab a drink by one of the beautiful pool areas. Thanks to each and everyone of the hotel staff for making our stay so pleasant. We will definitely stay at Seashell Suites and Villas again the next time that we are in Goa!",Group,2022-12-16,"Exceptional stay thanks to the friendly, helpful and professional staff!"
 United States,37.0902,-95.7129,Paul,Junior Suite with King Bed ,2022-11,10.0,3,"This was the best hotel that my wife and I stayed at in India and we visited several other cities. The staff went above and beyond to ensure that we had a comfortable stay. Also, it’s a very clean and beautiful property that’s in a great location. I’d highly recommend staying here to anyone who visits Goa.",Couple,2022-12-15,The best place to stay in Goa and top-notch hotel.
 India,20.5937,78.9629,Dharmendra,Junior Suite with King Bed ,2022-12,9.0,3,"It is a beautiful property and even more important, the people who manage it are very nice. The staff is very friendly and accommodating. 
I'm certainly going to stay in the future. Thanks team.",Family,2022-12-15,Lovely property run by friendly people.
 Portugal,39.3999,-8.2245,Inês,Junior Suite with Twin Bed ,2022-12,9.0,2,"Very spacious and well equipped room and bathroom, extremely clean. Staff was amazing and very helpful (excellent tips and even left a welcome cake at the room). 
Very comfortable bed (they gave us king size bed). It’s possible to arrange airport pick up and drop off, checkout available at any time, everything went smooth.
Property located just by Candolim beach, with a lot of restaurant options in the surroundings.",Couple,2022-12-10,"Great value for money, very thoughtful staff."
 Poland,51.9194,19.1451,Mark,Junior Suite with Twin Bed ,2022-11,10.0,4,"Very friendly and professional staff across the hotel, clean and beautiful facilities, large airy room, great location in the heart of Candolim",Family,2022-12-08,Strongly recommended for a wonderful stay in North Goa
 United Arab Emirates,23.4241,53.8478,Amr3zz,Junior Suite with King Bed ,2022-11,8.0,2,"Location is good, staff is super nice, appreciate for Manager who was coming every morning to check on our stay. Hotel and room is clean.",Family,2022-12-06,Very good
 India,20.5937,78.9629,Siddharth,Junior Suite with King Bed ,2022-10,10.0,3,hospitality,Family,2022-12-05,Exceptional
 Romania,45.9432,24.9668,Cristian-andrei,Junior Suite with King Bed ,2022-12,10.0,3,"The establishment has a top priority for everything to be clean and organised. This includes the rooms, the halls, the restaurant, the pools and the vegetation. The staff is friendly and always willing to help out. The food is good and has a wide variety of cuisines. It has local Goan recipes, other Indian recipes from different regions, but also non Indian options. All of them very tasty and prepared with care.

The location is ideal for reaching beaches of middle and North Goa, but regardless, the distances within Goa are not that big and if someone insists upon reaching south Goa it can be done with a taxi ride of 1.5 hours at a reasonable price. The place is also right next to the popular restaurant area in Candolim. 

The hotel also helps the guests find a taxi suitable for their needs, from going out to going to the airport.",Couple,2022-12-04,Couple's retreat in Goa
 Australia,-25.2744,133.7751,Stephen,Three-Bedroom Villa ,2022-12,10.0,2,"The villas were luxurious and well kept. The staff were welcoming  and were courteous, and the food and breakfast served was fabulous .Overall  had a lovely experience and would recommend  families to try this wonderful place.",Family,2022-12-03,Exceptional
 India,20.5937,78.9629,Manaswitha,Junior Suite with King Bed ,2022-11,10.0,5,"Great location, very close to restaurants specially Fisherman's clove in Candolim and great service by the staff. Our Room was very clean and bed was comfortable. We really enjoyed our spacious room. We booked our stay for multiple nights so we could explore the area and also be conveniently located for a beach. 
The front office staff were always attentive, courteous and helpful. They even assisted in finding a good car rental service and responded to all queries.
My husband and I enjoyed breakfast at the restaurant each day during our stay. Such a friendly, helpful restaurant staff. All told breakfast at the restaurant was an excellent way to start each day and the staff were a big reason why. 
 Thank you for such a wonderful hospitality ! Will definitely be back.....
HIGHLIGHTS: 
Staff - 10/10
Ambience- 9.5/10
Restaurant- 9/10
Cleanliness- 9/10 
Food- 8/10",Family,2022-12-01,Exceptional
 India,20.5937,78.9629,Suvir,Junior Suite with King Bed ,2022-11,9.0,2,The room was very spacious. The staff is very warm and eager to help.,Solo traveller,2022-11-30,Superb
 United Arab Emirates,23.4241,53.8478,Avnika,Junior Suite with King Bed ,2022-11,9.0,3,"The hospitality of all the staff members was excellent. Right from check-in to breakfasts to all requirements, it was taken care of very well. The property owner and manager were personally greeting people at breakfast and offering recommendations for Goa - this was very nice to see. Even when we were out and our room could not be cleaned, they left notes in our room to get the room cleaned at any time once we were back, and also left us a free chocolate cake. We really appreciated all the efforts to make our stay comfortable and enjoyable, especially since good customer service is uncommon in India - it was a positive and refreshing change :)",Family,2022-11-28,"Great property with lovely pool facilities, short and enjoyable walk from Candolim beach & markets!"
 Poland,51.9194,19.1451,Marcelina,Three-Bedroom Villa ,2022-11,10.0,2,"We could use many words and write huge opinion about the hotel, about the people and place.. If we will have a chance visit Goa again, definitely we will stay in Seashell. Wonderful team and service. Thank You once again, greetings to all, to Mr Shelly and Mr
Sanjay from Polish team ;))",Group,2022-11-26,Exceptional
 France,46.6034,1.8883,Ruth,Junior Suite with Twin Bed ,2022-11,10.0,6,"Seashells is a wonderful place to stay. Large, comfortable rooms kept amazingly clean. Three swimming pools. Helpful, welcoming reception staff; nothing is too much trouble...thank you Feona.    Great breakfast with many options, love the French toast, served by lovely, smiling staff...thanks Sandesh.",Couple,2022-11-26,Exceptional
 India,20.5937,78.9629,Sarthak,Junior Suite with King Bed ,2022-11,10.0,2,"Very good property in all aspects. kid friendly, lot of open area. Service is too good. every morning the owner Mr Shelly Gonsalvez and his Son Royston checking with guests on their stay is quite nice n humble. location is perfect, breakfast option is wide with varieties and is delicious. will recommend this property for families and couples. Overall, very happy with the stay and service.",Family,2022-11-23,A great stay at Seashell suites n villas
 United Kingdom,55.3781,-3.436,Manjit,Junior Suite with King Bed ,2022-11,10.0,4,The beautiful surroundings.  The exceptional staff from doorman to the ground staff.  They were all so  friendly and really cared about the guests. The team are led by the owner who meets the guest every day at breakfast.  The owner should be credited for having such a great team.  We have stayed in many 5* hotels round the world and I can truly say we experienced the best customer service here.  Thank You to the team... we will be back!,Couple,2022-11-22,"Great Staff, exceptional customer service"
 India,20.5937,78.9629,Ranjana,Junior Suite with Twin Bed ,2022-11,10.0,3,"Brand new suites, super clean, very proactive and friendly staff, quick house keeping and dine in services, overall mind blowing hospitality by the resort. Never seen owners of any hotels greeting and meeting their customers daily, it was a delightful gesture.",Group,2022-11-20,Super impressive stay!!
