name,country,room_types,booked,rating,nights,like_review,traveler_type,reviewed,review_title,longitude,latiude
Amardeep,Australia,Superior Room Garden View with Sitout - Twin Bed,2022-08-01,10,1,Awesome 😎,Couple,2022-10-16,outstanding,133.7751,-25.2744
Khyati,India,Superior Room Garden View with Sitout - Twin Bed,2022-10-01,10,3,Excellent property with extremely helpful and courteous staff... we had an awesome time....must visit. Staff went out of the way to plan my daughter's birthday surprise....we celebrated my daughter's birthday there... Cynthia and Jessyl were extremely helpful.,Family,2022-10-16,Exceptional,78.9629,20.5937
Prasad,United States,Aguada Cottage Garden View - King Bed,2022-10-01,10,7,"Location of the resort, the facilities, food, help from travel desk - all of the above fantastic
They have a couple of other properties nearby which also share facilities
Memorable experience!!!",Family,2022-10-10,Exceptional,-95.7129,37.0902
Hormazd,India,Deluxe Room Sea View with Sitout - Twin Bed,2022-10-01,10,2,Another great Taj property with the usual high standards of service. The hotel is located at Fort Aguada and is just a few steps away form the beach. The room was reasonably sized and well appointed. It has a tiny sit out area with a view of the ocean (only ocean facing rooms). The staff were attentive and always willing to help. The pool area was a great place to relax with a drink. There are multiple dining options on the property and prices are what you would expect of a 5 star hotel. A nice bonus is guests also get access to the Taj Holiday Village property which is just down the road.,Solo traveller,2022-10-10,A great 5 star property at a central location.,78.9629,20.5937
Randeep,India,Aguada Cottage Sea View - Twin Bed,2022-10-01,9,2,"Location, Courtesy",Family,2022-10-07,Liked it,78.9629,20.5937
Vicky,India,Superior Room Garden View with Sitout - King Bed,2022-10-01,10,2,views and cleanliness excellent,Family,2022-10-06,taj is taj ….👌👍,78.9629,20.5937
Surajit,India,Deluxe Room Sea View with Sitout - King Bed,2022-10-01,10,2,"The sighting of the sea 24/7
the cool pool
the round bar",Family,2022-10-02,a bit pricey  but in the whole a super trip,78.9629,20.5937
Sumit,India,Superior Room Garden View with Sitout - King Bed,2022-09-01,10,1,"Ambience was super awesome, staff were cooperative. They upgraded my room to Villa.",Family,2022-09-28,Peace of Mind = Taj,78.9629,20.5937
Pratyancha,India,Superior Room Garden View with Sitout - King Bed,2022-09-01,10,1,"Support from Staff , Overall Cleanliness, Standards , Food and Location. I had an early morning flight to catch, so i received a wonderful packed breakfast very early in morning which was awesome gesture . Food was amazing as well. Taste of Food is ++++++",Family,2022-09-23,Exceptional,78.9629,20.5937
Rajeev,India,Deluxe Room Sea View - King Bed,2022-08-01,8,1,Location and big property,Couple,2022-09-21,Good stay,78.9629,20.5937
Swapnil,India,Hermitage Bay View Villa - Two Bedrooms,2022-09-01,10,4,"location of the property is perfect. All staff and service , hospitality is beyond our expectations.house cleaning staff kailash and praveen is very humble polite.
special thanx to Jeseel , she made our vacation special by arranging everything for my daughter’s birthday. we will never forget this moment which was surprisingly created by Taj staff and especially created by Jesel. 
Not just did arrangements but she was taking care of everything even after birthday. Very warm feeling.
It was like we were at our home and all staff treated us like family members. Thanking you to Taj and their staff for making our vacation so special.",Family,2022-09-21,For sure whenever again will go for vacation to anywhere will first consider TAJ,78.9629,20.5937
Arjun,India,Superior Room Garden View with Sitout - Twin Bed,2022-09-01,10,1,"We were in goa to celebrate Our little boy birthday and we had an exceptional service by taj, a special cake and beautifully decorated room. And spl thanks to Cynthia for doing this exceptional job.",Solo traveller,2022-09-15,Exceptionally excellent.,78.9629,20.5937
Pravinsawant,India,Deluxe Room Sea View - Twin Bed,2022-09-01,10,2,"Amazing location, gated yet sprawling property.  Amazing food and hospitality.  Lush greenery with well maintained garden zones.  Delicious food items and good choice of spread.  Flexibility to roam around in 2 diffiernt properties at the price of 1.
The best spot is the sunset point.  The views of enormous sea meeting the rocky land with breezy air is a bliss.  The hotel staff members provide you with seating on the lawn and watching the sea gives one goosebumps.
The shuttle service provided to visit both the properties Taj Villge and Taj Fort Aguda makes like comfortable.",Group,2022-09-13,Memorable Time and excellent stay,78.9629,20.5937
Vikas,United Arab Emirates,Aguada Cottage Sea View - King Bed,2022-09-01,9,3,Location and facility planning.,Family,2022-09-10,Excellent location and nature designed resort.,55.2962,23.4241
Kishlaya,India,Deluxe Room Sea View - King Bed,2022-08-01,9,4,very good location and leisure ambience,Family,2022-09-08,very good property to spend holidays with family,78.9629,20.5937
Anjan,Kuwait,Deluxe Room Sea View with Sitout - King Bed,2022-09-01,9,3,Location and Hospitality and food.,Couple,2022-09-07,"Overall, it was a great stay.",47.4818,29.3117
Rahul,India,Deluxe Room Sea View - King Bed,2022-09-01,10,2,everything,Family,2022-09-07,👍,78.9629,20.5937
Priya,Italy,Deluxe Room Sea View - King Bed,2022-08-01,8,2,"the property in itself
leisure stay",Couple,2022-09-06,Very good,12.5674,41.8719
Abhishek,United Arab Emirates,Superior Room Garden View with Sitout - King Bed,2022-08-01,10,2,"Everything! People, Food, Property! 

I checked-in with my parents to celebrate my dad's 80th birthday at Taj Fort Aguada Goa. Perfect location to relax and unwind. Beautiful property. But what makes this property special is the people! 

Unfortunately, on our second night, my Mom who is 75 years old, fell terribly sick. Within minutes of informing Guest Services,  I had the local doctor on the phone and a team of individuals from Guest Services at the cottage door. They immediately helped place my mom on a stretcher and transported her to the nearest hospital in the hotel car. I had two team members with me at all times who took care of all our needs. Including the little things such as organizing sandwiches for me and my dad in the middle of the night at the hospital. Moreover, the team gave us the emotional strength to deal with the situation. My mom was discharged from the hospital after two days, and she received a very warm welcome back at the hotel (hand made card and gifts) 

Special mention to Abigail and Edward from Guest Services, without whom not sure how i would have handled the medical emergency. Thanks to the executive chef Dibyendu Roy  my Mom received special meals on her return. And none of this would have been possible if it wasn't for the exceptional leadership at the property starting with Nisha Sharma  the Front Office Manager, Praydhumna Singh the Hotel Manager and Anmol Ahluwalia the Cluster General Manager. Taj Hotels #leadership #people",Group,2022-09-03,Exceptional hospitality! Love the team at Fort Aguada,55.2962,23.4241
Ashish,India,Deluxe Room Sea View with Sitout - Twin Bed,2022-08-01,10,3,Everything good great excellent,Family,2022-09-03,Exceptional,78.9629,20.5937
Rajneesh,India,Deluxe Room Sea View with Sitout - King Bed,2022-08-01,10,1,Very good breakfast and location,Family,2022-08-30,Exceptional,78.9629,20.5937
Mitul,India,Aguada Cottage Garden View - King Bed,2022-08-01,10,3,just Everything,Couple,2022-08-30,wah Taj!,78.9629,20.5937
Sudhir,Australia,Aguada Cottage Sea View - King Bed,2022-08-01,10,2,customer service was excellent.,Couple,2022-08-26,I and my wife thoroughly enjoyed our stay. The service and hospitality was excellent.,133.7751,-25.2744
Rajendra,India,Deluxe Room Sea View with Sitout - King Bed,2022-08-01,9,4,Nice layout of breakfast. Housekeeping staff was prompt and good,Family,2022-08-24,We had a good stay . The staff was polite . Breakfast was good,78.9629,20.5937
Ahamadulla,India,Superior Room Garden View with Sitout - King Bed,2022-08-01,10,1,👍,Family,2022-08-16,Sunanda at the reception was so helpful,78.9629,20.5937
Saarthak,India,Deluxe Room Sea View - King Bed,2022-08-01,10,3,"The staff and the service is beyond words. 

Mr Vincent at Kokum with his 34 yrs of experience takes care of you like family. 

The location is splendid but what makes the real difference is the staff. One actually feels loved and cared for.",Family,2022-08-11,"Go for the location, stay for the staff and service",78.9629,20.5937
Jaya,India,Superior Room Garden View with Sitout - Twin Bed,2022-08-01,10,3,beautiful location. staff was very courteous. special mention to Ms Amrita from room service and Mr Astut from dining. thank you for such lovely gestures from you too.,Couple,2022-08-09,exquisite and extraordinary,78.9629,20.5937
Muhamed,United Arab Emirates,Deluxe Room Sea View - King Bed,2022-07-01,9,1,Thanks for your hospitality and Kindness 😊,Couple,2022-07-30,Exceptional 😊,55.2962,23.4241
Ashok,India,Aguada Cottage Sea View - Twin Bed,2022-07-01,10,3,Courtesy of staff and beautiful hilly terrain.,Family,2022-07-24,Comfortable,78.9629,20.5937
Vishal,India,Hermitage Villa With Garden Sitout,2022-06-01,9,4,excellently appointed rooms,Family,2022-07-22,Taj - it’s always a nice experience,78.9629,20.5937
Abhishek,India,Deluxe Room Sea View - King Bed,2022-07-01,9,7,"The courteous staff, the gifts, personal attention paid by each of the staff members, their attempts to make our anniversary special, kid friendly nature",Family,2022-07-11,Superb,78.9629,20.5937
Sujata,India,Deluxe Room Sea View - King Bed,2022-07-01,10,1,view from the room was amazing,Couple,2022-07-04,had an amazing time there,78.9629,20.5937
Nandita,India,Premium Suite Sea View with Terrace - King Bed,2022-07-01,10,4,The staff and the service,Family,2022-07-03,Wonderful,78.9629,20.5937
Karan,India,Deluxe Room Sea View with Sitout - King Bed,2022-06-01,8,1,"beautiful location, clean tidy rooms. food was ok nothing exceptional",Family,2022-06-29,Very good,78.9629,20.5937
Brijesh,India,Aguada Cottage Sea View - Twin Bed,2022-06-01,10,4,The breakfast was excellent with wide variety and the service was superb. The room was very comfortable and well managed by the house keeping staff. Location of the hotel is the best in Goa and you get an excellent view of the Sea and the Aguada Fort walls.,Couple,2022-06-24,A wonderful peaceful stay in the property.,78.9629,20.5937
Diksha,India,Superior Room Garden View with Sitout - King Bed,2022-06-01,10,3,Amrita was the best housekeeper!,Group,2022-06-20,Pleasant and luxurious,78.9629,20.5937
Tanvi,India,Deluxe Room Sea View - King Bed,2022-06-01,10,2,"the property is huge, well maintained, spotless. villas, cottages, sea view rooms are aesthetically pleasing.
Staff is helpful and always available. 
Spa is relaxing and wonderful. 
pool is clean with guards standing all the time 
kokum restaurant has huge spread of menu and delicious servings. 
recep staff is always ready to assist you.",Family,2022-06-17,Luxurious Stay worth a money,78.9629,20.5937
Antoinette,United States,Deluxe Room Sea View with Sitout - King Bed,2022-06-01,10,3,we just loved everything about it,Group,2022-06-11,awesome experience,-95.7129,37.0902
Itteyra,India,Deluxe Room Sea View - King Bed,2022-06-01,10,2,"The location and rooms
Room service",Family,2022-06-11,Taj king size,78.9629,20.5937
Valens,Netherlands,Superior Room Garden View with Sitout - King Bed,2022-05-01,10,2,The location of the hotel is amazing. Great landscapes all around. The hotel is well constructed and showcases luxury. The staff go above and beyond to make you comfortable  and well taken care off.,Couple,2022-05-30,Amazing property with great customer service and quality,5.2913,52.1326
Dr,India,Deluxe Room Sea View with Sitout - King Bed,2022-05-01,10,2,location and ambiance,Solo traveller,2022-05-29,Exceptional,78.9629,20.5937
Himanshu,India,Superior Room Garden View with Sitout - King Bed,2022-05-01,10,1,"everthing thing was amazing , specially the staff “ms .sunanda” gesture was so good
, beacuse of her we definitely gonna stay in this property next time also and will recommend to other people …had an amazing time",Couple,2022-05-15,it was amazing,78.9629,20.5937
Ramesh,India,Hermitage Bay View Villa - Two Bedrooms,2022-05-01,10,4,"Location,privacy, service & attention",Family,2022-05-13,Exceptional,78.9629,20.5937
Anil,India,Deluxe Room Sea View with Sitout - King Bed,2022-05-01,10,3,Location. Proximity to the sea,Family,2022-05-13,Great excellent vacation,78.9629,20.5937
Manoj,India,Deluxe Room Sea View - Twin Bed,2022-05-01,8,1,"location
resort maintenance 
ambience",Family,2022-05-10,memorable location is awesome and value for money,78.9629,20.5937
Saroop,India,Aguada Cottage Garden View - King Bed,2022-05-01,10,2,"Location was perfect by the beach,the breakfast  spread was elobrate quality food",Couple,2022-05-10,Exceptional,78.9629,20.5937
Isha,India,Superior Room Garden View with Sitout - King Bed,2022-04-01,9,1,"Property was amazing , loved the  hospitability .",Group,2022-05-01,Superb,78.9629,20.5937
Amit,United Kingdom,Deluxe Room Sea View - King Bed,2022-04-01,10,2,The staff were super friendly and made extreme effort towards our comforts. We felt like royalty.,Couple,2022-04-29,Stay like the Royals.,-0.1276,55.3781
Dr,India,Superior Room Garden View with Sitout - King Bed,2022-03-01,10,1,"hygiene,ambience n homely hospitality",Family,2022-04-25,Outstanding very relaxed!!,78.9629,20.5937
Maryna,India,Aguada Cottage Garden View - King Bed,2022-04-01,9,4,"Hassle free check in and check out. Transportation to and from the hotel. We stayed at the cottage with garden view, but actually we had the best view of the property- it is above the reception, and we could see all of the beach and the sea. Going to and from the cottage there is free car that you don't need to book- the cars/shuttles are always there at the reception- and they take you to the sister property as well (Taj Village resort).
The hospitality of the staff was outstanding, food quality and variety absolutely fantastic. The breakfast at the Konkum restaurant was catered to all the dietary needs, and there is even lactose-free milk. There is so much food: plenty for veg and non-veg eaters, egg station and a waffle/pancake station as well, danish pastries very fresh every day, cold cuts and cheese. Good variety of drinks. The servers were very polite and swift.
Swimming pool is very big, and the attendant, Mr. Sanjeev, was most helpful and caring, always offering chilled water, looking after our things while we go out to the beach. 
Room service menu is good, and the service is great, food is very tasty. 
The cottage is very spacious. We had a big balcony and an access to the garden with lounge chairs. Lots of sun and shade to comfortably spend a hot afternoon outside. 
Anything you need from the housekeeping is just a call away.",Family,2022-04-20,Very enjoyable vacation,78.9629,20.5937
Anand,India,Aguada Cottage Garden View - Twin Bed,2022-04-01,10,3,food was excellent,Family,2022-04-19,Exceptional,78.9629,20.5937
Abhishek,India,Superior Room Garden View with Sitout - King Bed,2022-04-01,9,1,"View, food, stay, staff.",Couple,2022-04-15,Superb,78.9629,20.5937
Rekha,India,Aguada Cottage Sea View - King Bed,2022-04-01,10,3,Cozy and romantic Villa location,Couple,2022-04-10,Excellent service and staffs... good food.. everything was awesome,78.9629,20.5937
Soumyodeep,India,Superior Room Garden View with Sitout - King Bed,2022-04-01,10,2,Breakfast was exceptional and the staff was so helpful,Couple,2022-04-07,Exceptional,78.9629,20.5937
Kunjan,India,Superior Room Garden View with Sitout - King Bed,2022-03-01,10,4,Breakfast is superb and staff is amazing.,Couple,2022-04-04,Perfect it’s like homecoming.,78.9629,20.5937
Shruthi,India,Deluxe Room Sea View with Sitout - King Bed,2022-03-01,9,1,"Everything was great, food, location, property,  service was exceptional. I being a vegan always try and stay @taj, they go an extra step to accommodate your requirements,  so thanks to them.",Family,2022-03-30,Superb,78.9629,20.5937
Bharat,India,Aguada Cottage Garden View - Twin Bed,2022-03-01,10,1,"Neat, clean, perfect location",Family,2022-03-30,it was a soothing experience. the staff was very polite and gentle. we had a small medical issue the staff managed my it,78.9629,20.5937
Raghav,India,Deluxe Room Sea View with Sitout - King Bed,2022-03-01,10,1,"Hospitality, view and location",Family,2022-03-29,The best place to stay in Goa.,78.9629,20.5937
Sam,Australia,Deluxe Room Sea View with Sitout - Twin Bed,2022-03-01,9,3,"The location, the staff and service. Breakfast was excellent. We also loved the music, live band in the evenings at the outdoor bar.",Couple,2022-03-22,"Our second visit, looking forward to our next.",133.7751,-25.2744
Monalisa,India,Aguada Cottage Sea View - King Bed,2022-03-01,10,3,Awesome service.Great food.Amazing hospitality,Family,2022-03-15,Exceptional,78.9629,20.5937
Sangeeta,India,Deluxe Room Sea View with Sitout - Twin Bed,2022-03-01,10,2,"breakfast, location and people",Family,2022-03-14,"relaxed , comfortable",78.9629,20.5937
Tanusree,India,Deluxe Room Sea View with Sitout - Twin Bed,2022-03-01,10,2,"First of all, the location was excellent. The accessibility to beach was commendable. Best part in staying at Taj, Fort Augwada was that we had the pool access to Taj village as well. We could easily hop in and out of beach to hotel to pool to beach again!
The staff was very friendly and accomodating. They gave us an early check-in at around 10 am. Since it was our anniversary, they made it very special by cake and small gifts. 
We had a 2 night stay altogether but we felt that the charges were on higher side!!!",Couple,2022-03-10,Exceptional,78.9629,20.5937
Shivendra,India,Deluxe Room Sea View with Sitout - King Bed,2022-03-01,10,3,Excellent service and location,Family,2022-03-09,Excellent place for all,78.9629,20.5937
Indrani,India,Aguada Cottage Sea View - Twin Bed,2022-03-01,10,4,"The location , the staff , the facilities … everything was superb . Sanjeev from poolside was exceptional and I saw him saving a little girl from drowning during our stay. He trained my son with new techniques of swimming during our stay. Nisha and her team of house keeping were fabulous , Jesslyn from front desk made sure my sons bday stay was full of surprises ! the cottages were best …",Family,2022-03-06,Surely coming back again !,78.9629,20.5937
Atul,India,Superior Room Garden View with Sitout - Twin Bed,2022-03-01,10,1,view 🙂,Couple,2022-03-05,Exceptional,78.9629,20.5937
Akshay,India,Deluxe Room Sea View with Sitout - King Bed,2022-02-01,10,2,Hospitality and breakfast,Couple,2022-03-02,Exceptional,78.9629,20.5937
Samruddhi,India,Superior Room Garden View with Sitout - King Bed,2022-02-01,9,2,"Excellent spread of breakfast. Great buffet and variety to choose food. Comfortable and cozy rooms. Perfect location with access to the beach and near by eat arounds. Courteous staff, they arranged for a cake and special room decor when they came to know that we had booked the stay to celebrate our anniversary.",Couple,2022-02-28,"Perfect leisure trip, had a fabulous weekend!",78.9629,20.5937
Aishwarya,India,Superior Room Garden View with Sitout - King Bed,2022-02-01,10,2,"It was the best trip for me after a stressful month , me and my family had the best time , the staff members were the best in all service , rabiula , Saurav and Jessica best staff members and there is a lot to see in the hotel , I just loved it !!!!!",Family,2022-02-26,Best ♥️,78.9629,20.5937
Ohri,India,Deluxe Room Sea View with Sitout - King Bed,2022-02-01,10,1,location and tidiness,Family,2022-02-24,super stay,78.9629,20.5937
Reddy,India,Aguada Cottage Sea View - King Bed,2022-02-01,10,1,Exceptional hospitality! Best in location with stunning views of Fort and sea! Amazing sunset!!,Couple,2022-02-19,TAJNESS!,78.9629,20.5937
Saikant,India,Superior Room Garden View with Sitout - King Bed,2022-02-01,10,3,The property...is grt....,Family,2022-02-17,Exceptional,78.9629,20.5937
Aditya,India,Premium Suite Sea View with Terrace - King Bed,2022-02-01,10,2,the staff was extremely helpful,Family,2022-02-16,Exceptional,78.9629,20.5937
Austin,India,Aguada Cottage Sea View - Twin Bed,2022-02-01,8,3,Great Views. Good staff. Great Location. Nice room.,Group,2022-02-16,The stay overall was fantastic.,78.9629,20.5937
Jayesh,India,Superior Room Garden View with Sitout - King Bed,2022-01-01,10,2,everything about this property is perfect,Family,2022-02-14,Exceptional,78.9629,20.5937
Ashish,India,Hermitage Villa - Sea View - One Bedroom,2022-02-01,10,4,breakfast should have been complimentary looking at the room rates . (511 - hermitage villa),Couple,2022-02-11,excellent ! just excellent,78.9629,20.5937
Apurva,United Kingdom,Aguada Cottage Sea View - King Bed,2022-01-01,10,12,we had a lovely time . we spent 12 nights at this resort from 6th of Jan to 18th. Location and the service from every staff member was incredible.,Family,2022-02-10,every member of staff at the hotel were so helpful. Special mentions to Vikram and his team during breakfast and dinner.,-0.1276,55.3781
Deepak,India,Hermitage Bay View Villa - Two Bedrooms,2022-02-01,10,3,"Everything, including location, cleanliness, hospitality. Avikash and his team were brilliant.",Family,2022-02-08,Exceptional as always.,78.9629,20.5937
Sharma,India,Superior Room Garden View with Sitout - King Bed,2022-02-01,10,2,Perfect stay,Family,2022-02-06,Exceptional,78.9629,20.5937
Vicky,India,Hermitage Bay View Villa - Two Bedrooms,2022-01-01,10,5,everything at villa was good. specially there staff effort mr avikash,Family,2022-02-02,Exceptional,78.9629,20.5937
Manasi,India,Superior Room Garden View with Sitout - King Bed,2022-01-01,9,2,peaceful property plus close to beach .A must visit in Goa. Hospitality was expectional.cleaning staff was also very good especially Rabiuel he just made our stay comfortable. A special mention to all the staff of Taj who are just there to make your stay exceptional.,Couple,2022-01-20,Must luxurious Stay,78.9629,20.5937
Abhijeet,Singapore,Superior Room Garden View with Sitout - King Bed,2021-12-01,9,2,Liked the view and Sit out,Group,2022-01-19,Brilliant!,103.8198,1.3521
Nitesh,India,Superior Room Garden View with Sitout - King Bed,2022-01-01,10,2,"Breakfast.
View.
Location.
Hospitality.
Staff Behavior.",Family,2022-01-19,Exceptional,78.9629,20.5937
Kl,India,Deluxe Room Sea View with Sitout - King Bed,2022-01-01,9,2,"The location, Proximity to Beach is very good. Food is also good particularly breakfast is fantastic.",Couple,2022-01-18,Superb,78.9629,20.5937
Umed,India,Superior Room Garden View with Sitout - King Bed,2022-01-01,10,1,Hospitality by All the staff..and specially Jessyl Mam,Family,2022-01-16,The best property to be stayed again n again n again..!!,78.9629,20.5937
Abhishek,India,Aguada Cottage Sea View - Twin Bed,2022-01-01,8,3,Location and view is superb .,Family,2022-01-14,Super,78.9629,20.5937
Abhishek,India,Superior Room Garden View with Sitout - Twin Bed,2022-01-01,10,1,the hospitality was good especially the staff was friendly and we loved the stay,Family,2022-01-11,Exceptional,78.9629,20.5937
Joyrash,India,Premium Suite Sea View with Terrace - King Bed,2022-01-01,9,4,Liked the ample space in the room. The view was great. Hospitality was top notch. Bijoy really looked after us.,Couple,2022-01-10,"Stunning views, Okay good and best hospitality",78.9629,20.5937
Aakash,India,Superior Room Garden View with Sitout - King Bed,2022-01-01,10,1,location. hospitality. food. views,Couple,2022-01-07,Amazing experience and super welcoming staff,78.9629,20.5937
Sumit,India,Aguada Cottage Garden View - King Bed,2021-12-01,10,2,It was just awesome...,Family,2022-01-06,Super kool,78.9629,20.5937
Angshuman,India,Premium Suite Sea View with Terrace - King Bed,2021-12-01,9,3,Spacious room with a great view,Family,2021-12-31,"Outstanding service, special care for my kid, including everyday gifts- we felt cared and wanted",78.9629,20.5937
Alok,India,Aguada Cottage Garden View - Twin Bed,2021-12-01,10,3,"it’s ambience, service n best location in goa, hats off to taj fort agauda n all the people working for them",Family,2021-12-30,"would like to thank Abdul the front manager n Swapnil who was at floor n took all initiative for us n helped us, again t",78.9629,20.5937
Rohit,India,Superior Room Garden View with Sitout - King Bed,2021-12-01,10,1,superb location and cleanliness,Couple,2021-12-29,Exceptional,78.9629,20.5937
Rani,India,Deluxe Room Sea View - King Bed,2021-12-01,10,5,"Prompt, excellent hospitality and welcoming staff.",Family,2021-12-29,"The Taj Group’s orientation to guest services, hospitality and care is exceptional. The attention to detail, and guest c",78.9629,20.5937
Ayush,India,Aguada Cottage Garden View - King Bed,2021-12-01,10,7,One of the best property in Goa,Couple,2021-12-26,Exceptional,78.9629,20.5937
Vinod,Ireland,Deluxe Room Sea View - King Bed,2021-12-01,9,3,Everything except the rate card.. its a rip off,Family,2021-12-23,Superb,-8.2439,53.4129
Umang,India,Superior Room Garden View with Sitout - King Bed,2021-12-01,10,1,I like the representative Ms. Sunanda the way she treated us.she is the right person to attend the guest,Family,2021-12-20,Exceptional,78.9629,20.5937
Chitra,United Kingdom,Premium Suite Sea View with Terrace - King Bed,2021-12-01,10,4,"Great views of the beach, luxurious accommodation, welcoming and attentive staff, delicious food",Family,2021-12-19,relaxing in the lap of luxury,-0.1276,55.3781
Mousumi,India,Deluxe Room Sea View with Sitout - King Bed,2021-12-01,10,1,"Our attendee upgraded our room as we went there for a special occasion without us asking for it.
Staff was superb, very well spoken & polite. That is the difference between a good brand that values people & the one that doesn't. We also visited Taj exotica which was at walking distance from Agoda, & they have arranged chauffeur services for visitors which was great :) We will definitely visit Taj Agoda for a longer stay :)",Couple,2021-12-15,Exceptional,78.9629,20.5937
Charmayne,India,Aguada Cottage Garden View - King Bed,2021-12-01,10,3,The warmth of the staff and the service,Family,2021-12-07,Amazing place to detox and get some great rest,78.9629,20.5937
Santosh,Nigeria,Deluxe Room Sea View - King Bed,2021-12-01,10,3,Almost everything,Family,2021-12-03,Exceptional,8.6753,9.082
Varun,India,Hermitage Villa - Sea View - One Bedroom,2021-11-01,10,4,"Location - perhaps best in Candolim! 
Staff that was managing Hermitage Lounge",Family,2021-12-02,Exceptional,78.9629,20.5937
Vb,United Kingdom,Deluxe Room Sea View - King Bed,2021-12-01,9,3,"Excellent housekeeping,  friendly staff, amazing sea view",Couple,2021-12-01,Superb,-0.1276,55.3781
Margaret,United Kingdom,Aguada Cottage Sea View - Twin Bed,2021-11-01,10,3,"good site with nice rooms, also the customer care and staff",Group,2021-12-01,Exceptional,-0.1276,55.3781
Pallavi,India,Deluxe Room Sea View - King Bed,2021-11-01,10,3,As usual Taj had the signature Tata hospitality..and kept up the promise for being the best,Solo traveller,2021-11-30,Exceptional,78.9629,20.5937
Maryanthony,India,Aguada Cottage Sea View - Twin Bed,2021-11-01,9,3,"The hospitality, location and sea view.",Group,2021-11-28,The property is located at a beautiful location. the cottages have an excellent view of the sea. The staff was very kind,78.9629,20.5937
Mahuya,India,Superior Room Garden View with Sitout - King Bed,2021-11-01,9,2,The location is excellent. The sea is always visible even though we did not take a sea view room. I am thankful for the complimentary wine. :),Group,2021-11-28,Delivers on the promises.,78.9629,20.5937
Giridhar,India,Aguada Cottage Sea View - Twin Bed,2021-11-01,10,4,The staff were super courteous and also gave us a villa with a fantastic view ( see pic ) - we had dietary needs and this was met each time every RnR by the Chefs in charge .  Abigail is a wonderful person and took personal care - totally loved it,Family,2021-11-28,Don’t miss it ….,78.9629,20.5937
Abhinav,India,Aguada Cottage Sea View - King Bed,2021-11-01,10,4,ambience and view from our room,Family,2021-11-26,memorable trip,78.9629,20.5937
Balasubramanya,India,Aguada Cottage Sea View - King Bed,2021-11-01,10,5,"well, about everything. the location, the view, cleanliness, food quality, ambiance and last but not the least.. the politeness and helpfulness of the staff.. everyone from the top to the bottom.. very cordial and helpful.
To put it in a nutshell, one of the best ever holidays I’ve had..

A Shoutout to all the staff members of Fort Aguada👍👍👍👌🏾👌🏾",Couple,2021-11-25,I planned this holiday of 6 days with my wife. The  occasion  was my 67th birthday. Having not travelled overseas in two,78.9629,20.5937
Gupta,India,Aguada Cottage Sea View - King Bed,2021-11-01,10,3,"This was our best experience with Taj. The hospitality was beyond compare. Prachi, Ritu took care of us so beautiful and with a lot of personal touch. I would like to thank them specially for taking care of us as my husband felt unwell. You guys are the epitome of hospitality.",Couple,2021-11-24,Best hotel stay till date,78.9629,20.5937
Damanjit,India,Superior Room Garden View with Sitout - Twin Bed,2021-11-01,10,3,The staff was excellent and they made sure our stay was comfortable and memorable. Taj sets higher than usual standards and they were the absolute Gold standard here.,Family,2021-11-21,Exceptional,78.9629,20.5937
Abhi3618,India,Aguada Cottage Sea View - King Bed,2021-11-01,10,3,View from our room and quality service and hospitality ..,Family,2021-11-21,Exceptional,78.9629,20.5937
Thehalfbloodprince,India,Deluxe Room Sea View with Sitout - King Bed,2021-10-01,10,4,The location was excellent. The staff is very polite ad helpful.,Couple,2021-11-17,"Great location, picturesque resort",78.9629,20.5937
Sudhakaran,India,Superior Room Garden View with Sitout - King Bed,2021-11-01,9,4,Support from the staff for kid's meals and wellbeing. The breakfast spread was excellent and the room/premise extremely well maintained.,Family,2021-11-13,Splendid family vacation,78.9629,20.5937
Annie,India,Hermitage Villa - Sea View - One Bedroom,2021-11-01,10,2,Very nice hospitality and good management… I like the way they manage all things with the customer they make us so comfortable and relax….. appreciable and really overall staffs are superb…. Avikash Thanks for making our trips and stay of wonderful.,Group,2021-11-11,Exceptional,78.9629,20.5937
Bhargav,India,Superior Room Garden View with Sitout - Twin Bed,2021-11-01,9,1,"It was our son's first vacation on his second birthday. They made the stay and birthday a cherishable memory. 
We were glad we booked this hotel. Very friendly and Polite Staff. The ocean view of the Lower Aguda fort from the room was awesome.",Family,2021-11-10,Cherishable Stay,78.9629,20.5937
Meena,India,Superior Room Garden View with Sitout - King Bed,2021-11-01,10,3,"Property, food, Activities, Amenities",Family,2021-11-09,Exceptional,78.9629,20.5937
Silverfern,India,Aguada Cottage Garden View - King Bed,2021-10-01,9,4,Loved the breakfast spread. Loved that we could use the Taj Village property also for breakfast. Since it has a better view we went there every morning for breakfast. It was simply wonderful.,Couple,2021-11-08,Luxurious property on a beautiful beach,78.9629,20.5937
Gokulesh,India,Deluxe Room Sea View - Twin Bed,2021-11-01,10,3,"location , service food, activities, child friendly",Family,2021-11-08,superb,78.9629,20.5937
Ankur,United Arab Emirates,Aguada Cottage Sea View - Twin Bed,2021-11-01,10,6,"Amazing views from the room, the breakfast was just so delicious.",Family,2021-11-06,Exceptional,55.2962,23.4241
Keshav,India,Superior Room Garden View with Sitout - King Bed,2021-08-01,10,4,overall feel .,Couple,2021-10-28,"Thanks to mr. Bhagat from front desk, our holiday went really well.",78.9629,20.5937
Nikhil,India,Aguada Cottage Sea View - King Bed,2021-10-01,10,1,"the location , ambience, the room & the staff !!! just what u expect from Taj !!!",Couple,2021-10-27,a splendid experience!!! surely gonna come here again,78.9629,20.5937
